smear,mass,thres,Z
1.000000000000000000e+00,1.000000000000000000e+00,5.599999999999999423e-01,1.802416781173360905e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-01,1.821871588178975987e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.399999999999999023e-01,1.830505714825641617e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.799999999999999378e-01,1.859482271545204402e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.199999999999999734e-01,1.864764930777431218e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.599999999999998979e-01,1.866612967072404317e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.999999999999999334e-01,1.837446580111135708e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.399999999999998579e-01,1.807372562521046611e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.799999999999998934e-01,1.719782777165739462e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.199999999999999289e-01,1.368187608312455339e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.599999999999999645e-01,4.062630449686509965e-02
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000083e-02,1.388377471315588307e+00
0.000000000000000000e+00,4.000000000000000000e+00,7.999999999999998779e-02,1.421922743977093173e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.199999999999999956e-01,1.441619211111336396e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.599999999999999756e-01,1.452276253719523957e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.999999999999999833e-01,1.480423193936725834e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.399999999999999634e-01,1.553647683324532069e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.799999999999999711e-01,1.630806435954083700e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.199999999999999512e-01,1.688660395733464936e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.599999999999999312e-01,1.718934407181825996e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.999999999999999112e-01,1.758901109781880745e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.399999999999998912e-01,1.783875636983610846e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.799999999999999267e-01,1.822565806028345614e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.199999999999999067e-01,1.849792357283697175e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.599999999999999423e-01,1.880842147001608122e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.999999999999999778e-01,1.906586770574606016e+00
0.000000000000000000e+00,4.000000000000000000e+00,6.399999999999999023e-01,1.954027205730357153e+00
0.000000000000000000e+00,4.000000000000000000e+00,6.799999999999999378e-01,2.012359669928654338e+00
0.000000000000000000e+00,4.000000000000000000e+00,7.199999999999999734e-01,2.044729496406547220e+00
0.000000000000000000e+00,4.000000000000000000e+00,7.599999999999998979e-01,2.143783114720210214e+00
0.000000000000000000e+00,4.000000000000000000e+00,7.999999999999999334e-01,2.231321753236155114e+00
0.000000000000000000e+00,4.000000000000000000e+00,8.399999999999998579e-01,2.343291739511435878e+00
0.000000000000000000e+00,4.000000000000000000e+00,8.799999999999998934e-01,2.472157591961899659e+00
0.000000000000000000e+00,4.000000000000000000e+00,9.199999999999999289e-01,2.394488616445162421e+00
0.000000000000000000e+00,4.000000000000000000e+00,9.599999999999999645e-01,2.858190075010275111e-02
1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000083e-02,1.371152578480064221e+00
1.000000000000000000e+00,4.000000000000000000e+00,7.999999999999998779e-02,1.396927025166501801e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.199999999999999956e-01,1.414921172340415811e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.599999999999999756e-01,1.419085139329040901e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.999999999999999833e-01,1.443840619963727478e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.399999999999999634e-01,1.520219494404062788e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.799999999999999711e-01,1.589296401581662188e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.199999999999999512e-01,1.648238039139888311e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.599999999999999312e-01,1.675789492107463197e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.999999999999999112e-01,1.704039739677592813e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.399999999999998912e-01,1.734299585061163773e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.799999999999999267e-01,1.758598231720451599e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.199999999999999067e-01,1.796420411906820336e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.599999999999999423e-01,1.821595379076840882e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.999999999999999778e-01,1.867599658571858168e+00
1.000000000000000000e+00,4.000000000000000000e+00,6.399999999999999023e-01,1.882570850543838104e+00
1.000000000000000000e+00,4.000000000000000000e+00,6.799999999999999378e-01,1.941821538680822634e+00
1.000000000000000000e+00,4.000000000000000000e+00,7.199999999999999734e-01,1.964171117953840584e+00
1.000000000000000000e+00,4.000000000000000000e+00,7.599999999999998979e-01,2.021805787557313216e+00
1.000000000000000000e+00,4.000000000000000000e+00,7.999999999999999334e-01,2.113109650079001423e+00
1.000000000000000000e+00,4.000000000000000000e+00,8.399999999999998579e-01,2.174788063975660712e+00
1.000000000000000000e+00,4.000000000000000000e+00,8.799999999999998934e-01,2.251215129993404229e+00
1.000000000000000000e+00,4.000000000000000000e+00,9.199999999999999289e-01,1.717574721889126632e+00
1.000000000000000000e+00,4.000000000000000000e+00,9.599999999999999645e-01,1.086137576972355245e-01
