smear,mass,thres,Z
0.000000000000000000e+00,1.000000000000000000e+00,5.199999999999999067e-01,1.722273710502959299e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.599999999999999423e-01,1.728924737791424970e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-01,1.746725461139455815e+00
0.000000000000000000e+00,1.000000000000000000e+00,6.399999999999999023e-01,1.763904338371371949e+00
0.000000000000000000e+00,1.000000000000000000e+00,6.799999999999999378e-01,1.780282114499115664e+00
0.000000000000000000e+00,1.000000000000000000e+00,7.199999999999999734e-01,1.794872777207310310e+00
0.000000000000000000e+00,1.000000000000000000e+00,7.599999999999998979e-01,1.819397998556926854e+00
0.000000000000000000e+00,1.000000000000000000e+00,7.999999999999999334e-01,1.804084822567163959e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.399999999999998579e-01,1.683215396664366148e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.799999999999998934e-01,1.433023126147616289e+00
0.000000000000000000e+00,1.000000000000000000e+00,9.199999999999999289e-01,8.602298327061692618e-01
0.000000000000000000e+00,1.000000000000000000e+00,9.599999999999999645e-01,1.234258255153551503e-01
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000083e-02,1.432090800178270174e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.999999999999998779e-02,1.442893811094703604e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.199999999999999956e-01,1.448524873172696070e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.599999999999999756e-01,1.447642270772137252e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.999999999999999833e-01,1.463366406583254120e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.399999999999999634e-01,1.527002817185525885e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.799999999999999711e-01,1.579518391743901962e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.199999999999999512e-01,1.605852779909851424e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.599999999999999312e-01,1.629646744232645661e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.999999999999999112e-01,1.638530911813776747e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.399999999999998912e-01,1.650652514106063506e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.799999999999999267e-01,1.664760272746200087e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.199999999999999067e-01,1.671981257715878577e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.599999999999999423e-01,1.686941588350236332e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-01,1.690041316947388905e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.399999999999999023e-01,1.688275265266919956e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.799999999999999378e-01,1.704816390590079500e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.199999999999999734e-01,1.692772747571260838e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.599999999999998979e-01,1.685589315756204520e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.999999999999999334e-01,1.603619260895470688e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.399999999999998579e-01,1.428743046947191120e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.799999999999998934e-01,1.169011051944583990e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.199999999999999289e-01,6.548216385499986414e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.599999999999999645e-01,1.008865564975968687e-01
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000083e-02,1.338047071329403481e+00
0.000000000000000000e+00,4.000000000000000000e+00,7.999999999999998779e-02,1.354895219197747247e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.199999999999999956e-01,1.367250151058200247e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.599999999999999756e-01,1.366625979085587916e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.999999999999999833e-01,1.386643643409221749e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.399999999999999634e-01,1.451502442433292739e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.799999999999999711e-01,1.511547007598397885e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.199999999999999512e-01,1.557052951846733979e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.599999999999999312e-01,1.584546418950457891e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.999999999999999112e-01,1.617944045922408147e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.399999999999998912e-01,1.643334988316763612e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.799999999999999267e-01,1.657671843212845886e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.199999999999999067e-01,1.685958783145926621e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.599999999999999423e-01,1.718535176170795431e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.999999999999999778e-01,1.750946365421515161e+00
0.000000000000000000e+00,4.000000000000000000e+00,6.399999999999999023e-01,1.789412134310006230e+00
0.000000000000000000e+00,4.000000000000000000e+00,6.799999999999999378e-01,1.837401433571856257e+00
0.000000000000000000e+00,4.000000000000000000e+00,7.199999999999999734e-01,1.908312995982323956e+00
0.000000000000000000e+00,4.000000000000000000e+00,7.599999999999998979e-01,1.996771495494974458e+00
0.000000000000000000e+00,4.000000000000000000e+00,7.999999999999999334e-01,2.071900347035350531e+00
0.000000000000000000e+00,4.000000000000000000e+00,8.399999999999998579e-01,2.143559397569316349e+00
0.000000000000000000e+00,4.000000000000000000e+00,8.799999999999998934e-01,2.206056219249938888e+00
0.000000000000000000e+00,4.000000000000000000e+00,9.199999999999999289e-01,2.159429359731228626e+00
0.000000000000000000e+00,4.000000000000000000e+00,9.599999999999999645e-01,1.299126195840456521e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000083e-02,1.327878576492944163e+00
1.000000000000000000e+00,4.000000000000000000e+00,7.999999999999998779e-02,1.346754925198646591e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.199999999999999956e-01,1.359133133052164988e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.599999999999999756e-01,1.351264585357768055e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.999999999999999833e-01,1.372806446557988114e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.399999999999999634e-01,1.440073861539954647e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.799999999999999711e-01,1.501749849976290019e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.199999999999999512e-01,1.539152078214848673e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.599999999999999312e-01,1.574098626579263582e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.999999999999999112e-01,1.600801995635512398e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.399999999999998912e-01,1.628132199011540937e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.799999999999999267e-01,1.650414155362613933e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.199999999999999067e-01,1.681601000056420103e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.599999999999999423e-01,1.713255219884814551e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.999999999999999778e-01,1.748816533363237058e+00
1.000000000000000000e+00,4.000000000000000000e+00,6.399999999999999023e-01,1.780429486849537168e+00
1.000000000000000000e+00,4.000000000000000000e+00,6.799999999999999378e-01,1.832839716601003976e+00
1.000000000000000000e+00,4.000000000000000000e+00,7.199999999999999734e-01,1.914058560633467021e+00
1.000000000000000000e+00,4.000000000000000000e+00,7.599999999999998979e-01,1.964963419972999947e+00
1.000000000000000000e+00,4.000000000000000000e+00,7.999999999999999334e-01,2.042499472495473700e+00
1.000000000000000000e+00,4.000000000000000000e+00,8.399999999999998579e-01,2.070365716799140721e+00
1.000000000000000000e+00,4.000000000000000000e+00,8.799999999999998934e-01,2.111206377307179416e+00
1.000000000000000000e+00,4.000000000000000000e+00,9.199999999999999289e-01,1.690203708573151609e+00
1.000000000000000000e+00,4.000000000000000000e+00,9.599999999999999645e-01,7.644217980530741974e-01
