# smearing, mass, nbins, fpr, tpr, overlapping
1.000000000000000000e+00 1.000000000000000000e+00 4.000000000000000000e+01 1.826000000000000123e-01 5.312000000000000055e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+01 1.436999999999999944e-01 4.340999999999999859e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+01 1.212000000000000022e-01 3.618000000000000105e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 8.000000000000000000e+01 9.099999999999999756e-02 2.707999999999999852e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+02 7.190000000000000557e-02 2.182999999999999940e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.200000000000000000e+02 6.049999999999999822e-02 1.821000000000000119e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.500000000000000000e+02 4.839999999999999858e-02 1.451999999999999957e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+02 3.540000000000000091e-02 1.077000000000000041e-01 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 2.500000000000000000e+02 2.850000000000000103e-02 8.649999999999999356e-02 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+02 2.359999999999999945e-02 7.069999999999999896e-02 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 3.500000000000000000e+02 2.060000000000000026e-02 6.160000000000000198e-02 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 4.000000000000000000e+02 1.799999999999999864e-02 5.229999999999999927e-02 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 4.500000000000000000e+02 1.619999999999999912e-02 4.619999999999999801e-02 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+02 1.439999999999999961e-02 4.209999999999999853e-02 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+02 1.239999999999999956e-02 3.459999999999999881e-02 3.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 8.000000000000000000e+02 8.699999999999999400e-03 2.630000000000000046e-02 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+00 9.723000000000000531e-01 1.000000000000000000e+00 3.000000000000000000e+00
0.000000000000000000e+00 4.000000000000000000e+00 1.000000000000000000e+01 6.389000000000000234e-01 1.000000000000000000e+00 3.000000000000000000e+00
